City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kuusamo,65.9667,29.1833,8.64,85,100,4.61,FI,1675537379
84,serenje,-13.2325,30.2352,62.56,95,99,1.72,ZM,1675537380
85,dunedin,-45.8742,170.5036,68.81,85,100,5.99,NZ,1675537380
86,seoul,37.5683,126.9778,26.04,87,0,2.3,KR,1675537337
87,puerto ayora,-0.7393,-90.3518,85.96,86,25,5.99,EC,1675537380
88,katsuura,35.1333,140.3,44.31,72,3,11.36,JP,1675537381
89,san luis,-33.295,-66.3356,85.77,18,0,8.39,AR,1675537374
90,ostrovnoy,68.0531,39.5131,14.09,85,99,9.46,RU,1675537381
91,hobart,-42.8794,147.3294,57.06,70,100,14.97,AU,1675537283
92,komsomolskiy,40.4272,71.7189,39.92,87,100,6.91,UZ,1675537382
93,butembo,0.15,29.2833,62.26,51,61,3.0,CD,1675537383
94,zhengjiatun,43.5064,123.5064,18.63,61,50,7.7,CN,1675537383
95,husavik,66.0449,-17.3389,27.82,70,3,13.78,IS,1675537386
96,namibe,-15.1961,12.1522,71.01,78,41,10.25,AO,1675537387
97,mahebourg,-20.4081,57.7,80.26,89,40,8.05,MU,1675537306
98,tuktoyaktuk,69.4541,-133.0374,-45.4,66,0,2.3,CA,1675537388
99,kapaa,22.0752,-159.319,73.72,93,100,9.22,US,1675537388
100,saint-philippe,-21.3585,55.7679,78.39,87,97,10.49,RE,1675537390
101,caravelas,-17.7125,-39.2481,84.79,66,10,11.74,BR,1675537390
102,artvin,41.1667,41.8333,31.12,76,92,4.47,TR,1675537391
103,norman wells,65.282,-126.8329,-16.56,63,75,3.44,CA,1675537392
104,punta arenas,-53.15,-70.9167,51.12,93,100,12.66,CL,1675537393
105,leningradskiy,69.3833,178.4167,-27.42,99,100,4.65,RU,1675537394
106,port hardy,50.6996,-127.4199,44.78,93,75,21.85,CA,1675537379
107,hithadhoo,-0.6,73.0833,81.28,73,100,16.17,MV,1675537396
108,maragogi,-9.0122,-35.2225,82.08,71,37,9.62,BR,1675537397
109,alofi,-19.0595,-169.9187,78.69,83,75,5.75,NU,1675537397
110,mount isa,-20.7333,139.5,69.57,43,100,9.22,AU,1675537398
111,puerto carreno,6.189,-67.4859,84.18,61,20,17.27,CO,1675537398
112,edgewater,28.9889,-80.9023,74.28,60,75,17.27,US,1675537399
113,alice springs,-23.7,133.8833,54.95,88,5,4.61,AU,1675537399
114,ambon,-3.6954,128.1814,75.34,94,40,3.44,ID,1675537400
115,arraial do cabo,-22.9661,-42.0278,93.16,58,0,11.5,BR,1675537334
116,xuddur,4.1213,43.8894,77.09,26,13,10.58,SO,1675537401
117,carnarvon,-24.8667,113.6333,78.17,74,3,3.49,AU,1675537401
118,creemore,44.327,-80.1075,19.94,87,100,10.36,CA,1675537402
119,lensk,60.7253,114.9278,-7.67,99,100,1.43,RU,1675537403
120,russell,32.3502,-85.1999,57.4,33,0,3.44,US,1675537403
121,santa cruz de la palma,28.6835,-17.7642,64.54,59,20,13.8,ES,1675537403
122,keetmanshoop,-26.5833,18.1333,88.61,19,95,20.76,NA,1675537180
123,natal,-5.795,-35.2094,88.45,66,20,16.11,BR,1675537217
124,arona,28.0996,-16.681,58.12,56,40,10.36,ES,1675537404
125,cape town,-33.9258,18.4232,72.88,83,0,10.36,ZA,1675537113
126,mareeba,-17.0,145.4333,76.44,96,100,2.3,AU,1675537406
127,rabaul,-4.1967,152.1721,79.54,79,100,3.74,PG,1675537406
128,batagay-alyta,67.8006,130.4114,-37.08,91,94,3.8,RU,1675537408
129,kruisfontein,-34.0033,24.7314,71.58,70,100,7.56,ZA,1675537310
130,srednekolymsk,67.45,153.6833,-30.12,100,100,2.95,RU,1675537409
131,kasongo-lunda,-6.4667,16.8167,70.32,98,100,2.91,CD,1675537410
132,sabya,17.1495,42.6254,80.22,68,66,7.85,SA,1675537410
133,sabha,27.0377,14.4283,58.71,29,90,4.68,LY,1675537410
134,pankovka,58.5,31.1999,21.85,93,100,10.29,RU,1675537411
135,anadyr,64.75,177.4833,-21.5,76,0,8.95,RU,1675537411
136,saldanha,-33.0117,17.9442,66.25,96,82,15.48,ZA,1675537412
137,port elizabeth,-33.918,25.5701,74.32,93,0,6.91,ZA,1675537413
138,port moresby,-9.4431,147.1797,76.42,94,40,11.5,PG,1675537413
139,mehamn,71.0357,27.8492,22.95,80,100,3.44,NO,1675537414
140,morrope,-6.5417,-80.0111,82.51,47,99,15.05,PE,1675537414
141,estepa,37.2926,-4.879,47.93,47,0,1.72,ES,1675537414
142,san patricio,28.017,-97.5169,67.87,52,47,7.47,US,1675537281
143,diapaga,12.0708,1.7889,87.75,11,5,5.95,BF,1675537415
144,saint george,37.1041,-113.5841,53.44,42,0,3.0,US,1675537204
145,andijon,40.7821,72.3442,42.08,90,100,3.53,UZ,1675537415
146,lazaro cardenas,17.9583,-102.2,87.46,40,0,9.51,MX,1675537416
147,isangel,-19.55,169.2667,81.12,88,55,9.26,VU,1675537416
148,sao filipe,14.8961,-24.4956,73.47,60,100,11.54,CV,1675537302
149,westport,41.1415,-73.3579,19.38,32,75,5.75,US,1675537316
150,prince rupert,54.3161,-130.3201,44.69,87,100,36.82,CA,1675537416
151,santiago del estero,-27.7951,-64.2615,87.84,33,100,3.58,AR,1675537125
152,junin,-34.5838,-60.9433,85.89,44,0,6.04,AR,1675537249
153,college,64.8569,-147.8028,4.98,85,100,0.0,US,1675537203
154,isabela,6.7085,121.9711,77.05,83,88,3.0,PH,1675537417
